2021-06-07 17:54:18,234 [Worker-41] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2021-06-07 17:54:18,235 [Worker-41] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2021-06-07 17:54:18,237 [Worker-41] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2021-06-07 17:54:18,241 [Worker-41] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2021-06-07 17:54:54,690 [Worker-38] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2021-06-07 17:54:54,691 [Worker-38] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2021-06-07 17:54:54,694 [Worker-38] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2021-06-07 17:54:54,697 [Worker-38] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2021-06-07 17:56:14,464 [Worker-42] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2021-06-07 17:56:14,466 [Worker-42] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2021-06-07 17:56:14,472 [Worker-42] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2021-06-07 17:56:14,475 [Worker-42] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2021-06-07 17:56:34,201 [Worker-43] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2021-06-07 17:56:34,202 [Worker-43] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2021-06-07 17:56:34,204 [Worker-43] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2021-06-07 17:56:34,206 [Worker-43] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
